sep=,
"Time","Aeqnitch__Aequitas_NEO_A","BATS_BYX_Feeds_A","BATS_BZX_Feeds_A","CBBO_Feeds__Best_Bid_Offer_A","CBOE__BATSEDGA_A","CBOE__BATS_EDGX_A","CDF_feeds_A","CQS_Pillar_feeds_A","CSEMC_Feed__Canadian_Securities_Ex_A","CTS_Pillard_Feeds_A","Canadian_feeds_A","FINRA_tdds_A","IEX_Feeds__TOPS_and_DEEP_A","Intelligent_Cross_ASPEN_A","MEMX_Feeds_A","MIAX_Feeds_A","NASDAQ_Canadian_CXD_Purestream_A","NASDAQ_Canadian_Chix_A","NEW_CQS_Pillar_feeds_A","NYSE_AMEX_OpenBook_A","NYSE_ARCA_Pillar_A","NYSE_Chicago_A","NYSE_Imbalance_A","NYSE_National_A","NYSE_OpenBook_Ultra_A","Nasdaq_BX_Totalview_A","Nasdaq_Chix_feed_CXC_A","New_CTS_Pillard_Feeds_A","Omega_Feed_A","Omega_Lynx_feed_A","TSX_Feeds_A","TSX_Quantumfeed_A","TSX_Venture_QuantumFeed_A","Totalview_A","UTP_Feed_A"
1707393600000,20953.600000000002,1440,60100.8,1344,1384.8000000000002,78955.20000000001,23200,19.200000000000003,1063.2,20.8,16341.6,52,1356,96,65401.600000000006,467.20000000000005,8.8,596.8000000000001,18287.2,471.20000000000005,215696,720.8000000000001,863.2,1180,21808,8690.4,17.6,14426.400000000001,224.8,2.4000000000000004,4.800000000000001,14488.800000000001,3124.8,17795.2,34367.200000000004
1707397200000,844,4208,14940,1640,3820,15065.6,2912.8,19.200000000000003,1568.8000000000002,20.8,2696,87.2,5446.400000000001,96,5345.6,384,8,661.6,25547.2,1388,34091.200000000004,1799.2,1054.4,2268.8,26269.600000000002,9027.2,591.2,4823.2,252.8,16,9.600000000000001,2456.8,1040.8,27784,13190.400000000001
1707400800000,91060,84914.40000000001,479301.60000000003,126789.6,123541.6,390900,355940.80000000005,19.200000000000003,45766.4,20.8,297212,5254.400000000001,189114.40000000002,60180.8,195577.6,118936,680,39306.4,700944.8,42030.4,770237.6000000001,75770.40000000001,12256,64076.8,316100,136863.2,55880,115409.6,26101.600000000002,3392.8,26576.800000000003,182121.6,14596,515957.60000000003,482485.60000000003
1707404400000,74644,67250.40000000001,230812,110566.40000000001,55682.4,162025.6,273390.4,19.200000000000003,20693.600000000002,20.8,134971.2,399.20000000000005,174592.80000000002,52644.8,126192.8,95050.40000000001,132,28663.2,706903.2000000001,21948,255763.2,71546.40000000001,19.200000000000003,19063.2,128284,55600.8,38496,42523.200000000004,21042.4,2429.6,1588,87104,1080.8,355525.60000000003,347978.4
1707408000000,70208.8,56103.200000000004,184880,110564.8,47556.8,140057.6,245308,19.200000000000003,20024.800000000003,20.8,141304,888,129770.40000000001,46084.8,109654.40000000001,77255.2,150.4,29088.800000000003,535508,18826.4,205250.40000000002,63232,20,17101.600000000002,117967.20000000001,47022.4,35911.200000000004,27654.4,16759.2,2007.2,3104,89771.20000000001,688,272669.60000000003,307617.60000000003
1707411600000,44556.8,39236.8,137439.2,63845.600000000006,38701.6,116122.40000000001,156340,19.200000000000003,12290.400000000001,20.8,87636,476,114100.8,36851.200000000004,83753.6,55063.200000000004,59.2,18269.600000000002,451106.4,17362.4,179805.6,44980.8,16.8,14325.6,110424,35121.6,23391.2,20152,13005.6,1175.2,988,56410.4,671.2,226329.6,245141.6
1707415200000,117990.40000000001,125052.8,358684,127848,130558.40000000001,342142.4,534096,19.200000000000003,72632.8,20.8,318049.60000000003,280,182164.80000000002,110580,202336,93819.20000000001,140,66940,1091992,21140,498661.60000000003,121876,17.6,38428,269449.60000000003,100325.6,67124.8,98500,31050.4,5203.200000000001,7755.200000000001,181839.2,1348,546038.4,605783.2000000001
1707418800000,41830.4,33512.8,150897.6,60355.200000000004,38839.200000000004,107400.8,142849.6,19.200000000000003,10228,20.8,75226.40000000001,574.4,123135.20000000001,39208,90771.20000000001,57380,199.20000000000002,15634.400000000001,385340,16409.600000000002,173741.6,48768,89.60000000000001,12370.400000000001,101661.6,38045.6,22653.600000000002,23478.4,12260.800000000001,1231.2,1707.2,45825.600000000006,1094.4,235084.80000000002,227559.2
1707422400000,93807.20000000001,295038.4,537906.4,119457.6,172150.40000000002,255022.40000000002,446907.2,19.200000000000003,46452,20.8,308200.8,1109.6000000000001,346620,101457.6,255093.6,152256,220,46773.600000000006,1683852.8,63918.4,532057.6,342421.60000000003,11972,91358.40000000001,359342.4,219319.2,53354.4,160202.40000000002,26424.800000000003,3791.2000000000003,30731.2,221530.40000000002,22089.600000000002,1015063.2000000001,1121020
1707426000000,27900,27292,111631.20000000001,5780,10752,27139.2,25704.800000000003,19.200000000000003,1288.8000000000002,20.8,87018.40000000001,141.6,3293.6000000000004,2197.6,9244.800000000001,386.40000000000003,8.8,1768.8000000000002,153570.4,3701.6000000000004,106223.20000000001,1415.2,710.4000000000001,3812,239.20000000000002,46992.8,4410.400000000001,8740,1319.2,44.800000000000004,117.60000000000001,40748,7346.400000000001,299880.8,75787.2
